epi_week,disease,no_of_cases
2012-W17,Dengue Fever,64
2012-W17,Dengue Haemorrhagic Fever,0
2012-W17,Malaria,2
2012-W18,Dengue Fever,86
2012-W18,Dengue Haemorrhagic Fever,2
2012-W18,Malaria,2
2012-W19,Dengue Fever,96
2012-W19,Dengue Haemorrhagic Fever,1
2012-W19,Malaria,1
2012-W20,Dengue Fever,80
2012-W20,Dengue Haemorrhagic Fever,0
2012-W20,Malaria,2
2012-W21,Dengue Fever,80
2012-W21,Dengue Haemorrhagic Fever,0
2012-W21,Malaria,1
2012-W22,Dengue Fever,81
2012-W22,Dengue Haemorrhagic Fever,0
2012-W22,Malaria,2
2012-W23,Dengue Fever,99
2012-W23,Dengue Haemorrhagic Fever,1
2012-W23,Malaria,3
2012-W24,Dengue Fever,87
2012-W24,Dengue Haemorrhagic Fever,1
2012-W24,Malaria,3
2012-W25,Dengue Fever,128
2012-W25,Dengue Haemorrhagic Fever,1
2012-W25,Malaria,5
2012-W26,Dengue Fever,151
2012-W26,Dengue Haemorrhagic Fever,0
2012-W26,Malaria,7
2012-W27,Dengue Fever,140
2012-W27,Dengue Haemorrhagic Fever,0
2012-W27,Malaria,4
2012-W28,Dengue Fever,131
2012-W28,Dengue Haemorrhagic Fever,1
2012-W28,Malaria,6
2012-W29,Dengue Fever,124
2012-W29,Dengue Haemorrhagic Fever,1
2012-W29,Malaria,9
2012-W30,Dengue Fever,110
2012-W30,Dengue Haemorrhagic Fever,0
2012-W30,Malaria,2
2012-W31,Dengue Fever,94
2012-W31,Dengue Haemorrhagic Fever,0
2012-W31,Malaria,5
2012-W32,Dengue Fever,127
2012-W32,Dengue Haemorrhagic Fever,0
2012-W32,Malaria,4
2012-W33,Dengue Fever,115
2012-W33,Dengue Haemorrhagic Fever,0
2012-W33,Malaria,4
2012-W34,Dengue Fever,92
2012-W34,Dengue Haemorrhagic Fever,0
2012-W34,Malaria,4
2012-W35,Dengue Fever,102
2012-W35,Dengue Haemorrhagic Fever,0
2012-W35,Malaria,1
2012-W36,Dengue Fever,75
2012-W36,Dengue Haemorrhagic Fever,1
2012-W36,Malaria,1
2012-W37,Dengue Fever,73
2012-W37,Dengue Haemorrhagic Fever,1
2012-W37,Malaria,1
2012-W38,Dengue Fever,72
2012-W38,Dengue Haemorrhagic Fever,0
2012-W38,Malaria,5
2012-W39,Dengue Fever,99
2012-W39,Dengue Haemorrhagic Fever,1
2012-W39,Malaria,4
2012-W40,Dengue Fever,103
2012-W40,Dengue Haemorrhagic Fever,1
2012-W40,Malaria,3
2012-W41,Dengue Fever,122
2012-W41,Dengue Haemorrhagic Fever,1
2012-W41,Malaria,3
2012-W42,Dengue Fever,105
2012-W42,Dengue Haemorrhagic Fever,0
2012-W42,Malaria,5
2012-W43,Dengue Fever,84
2012-W43,Dengue Haemorrhagic Fever,0
2012-W43,Malaria,5
2012-W44,Dengue Fever,104
2012-W44,Dengue Haemorrhagic Fever,0
2012-W44,Malaria,1
2012-W45,Dengue Fever,99
2012-W45,Dengue Haemorrhagic Fever,1
2012-W45,Malaria,1
2012-W46,Dengue Fever,87
2012-W46,Dengue Haemorrhagic Fever,1
2012-W46,Malaria,1
2012-W47,Dengue Fever,99
2012-W47,Dengue Haemorrhagic Fever,1
2012-W47,Malaria,1
2012-W48,Dengue Fever,80
2012-W48,Dengue Haemorrhagic Fever,0
2012-W48,Malaria,3
2012-W49,Dengue Fever,78
2012-W49,Dengue Haemorrhagic Fever,0
2012-W49,Malaria,3
2012-W50,Dengue Fever,104
2012-W50,Dengue Haemorrhagic Fever,1
2012-W50,Malaria,2
2012-W51,Dengue Fever,92
2012-W51,Dengue Haemorrhagic Fever,2
2012-W51,Malaria,0
2012-W52,Dengue Fever,111
2012-W52,Dengue Haemorrhagic Fever,1
2012-W52,Malaria,5
2013-W01,Dengue Fever,132
2013-W01,Dengue Haemorrhagic Fever,2
2013-W01,Malaria,1
2013-W02,Dengue Fever,204
2013-W02,Dengue Haemorrhagic Fever,1
2013-W02,Malaria,1
2013-W03,Dengue Fever,219
2013-W03,Dengue Haemorrhagic Fever,0
2013-W03,Malaria,1
2013-W04,Dengue Fever,264
2013-W04,Dengue Haemorrhagic Fever,3
2013-W04,Malaria,0
2013-W05,Dengue Fever,292
2013-W05,Dengue Haemorrhagic Fever,1
2013-W05,Malaria,0
2013-W06,Dengue Fever,322
2013-W06,Dengue Haemorrhagic Fever,0
2013-W06,Malaria,2
2013-W07,Dengue Fever,246
2013-W07,Dengue Haemorrhagic Fever,1
2013-W07,Malaria,0
2013-W08,Dengue Fever,294
2013-W08,Dengue Haemorrhagic Fever,2
2013-W08,Malaria,1
2013-W09,Dengue Fever,247
2013-W09,Dengue Haemorrhagic Fever,2
2013-W09,Malaria,0
2013-W10,Dengue Fever,272
2013-W10,Dengue Haemorrhagic Fever,1
2013-W10,Malaria,1
2013-W11,Dengue Fever,307
2013-W11,Dengue Haemorrhagic Fever,1
2013-W11,Malaria,2
2013-W12,Dengue Fever,305
2013-W12,Dengue Haemorrhagic Fever,2
2013-W12,Malaria,1
2013-W13,Dengue Fever,314
2013-W13,Dengue Haemorrhagic Fever,2
2013-W13,Malaria,1
2013-W14,Dengue Fever,402
2013-W14,Dengue Haemorrhagic Fever,4
2013-W14,Malaria,3
2013-W15,Dengue Fever,491
2013-W15,Dengue Haemorrhagic Fever,1
2013-W15,Malaria,4
2013-W16,Dengue Fever,505
2013-W16,Dengue Haemorrhagic Fever,4
2013-W16,Malaria,4
2013-W17,Dengue Fever,536
2013-W17,Dengue Haemorrhagic Fever,2
2013-W17,Malaria,2
2013-W18,Dengue Fever,547
2013-W18,Dengue Haemorrhagic Fever,0
2013-W18,Malaria,4
2013-W19,Dengue Fever,556
2013-W19,Dengue Haemorrhagic Fever,2
2013-W19,Malaria,5
2013-W20,Dengue Fever,611
