Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tengah,2017,3,1,18.5,—,—,—,25,28.6,23.3,8.3,37.1
Tengah,2017,3,2,0.8,—,—,—,26.4,30.8,24.5,12.6,37.1
Tengah,2017,3,3,44,—,—,—,25.6,28.7,23,9.7,44.3
Tengah,2017,3,4,2.5,—,—,—,25.1,29.3,23.3,5.8,29.5
Tengah,2017,3,5,10.2,—,—,—,26.6,32.4,23.2,7.9,27.7
Tengah,2017,3,6,11.5,—,—,—,26.4,33,23.2,7.9,33.5
Tengah,2017,3,7,1.1,—,—,—,27,32.4,23.4,7.2,24.1
Tengah,2017,3,8,8,—,—,—,27.3,33,24,10.4,35.3
Tengah,2017,3,9,0,—,—,—,27.4,32.7,23.6,14.8,31.3
Tengah,2017,3,10,0,—,—,—,27.4,32.5,23.8,12.2,29.5
Tengah,2017,3,11,40,—,—,—,27,33,23.5,8.6,37.1
Tengah,2017,3,12,36,—,—,—,26.4,30.4,23.5,6.1,18.4
Tengah,2017,3,13,3.6,—,—,—,27.9,33.5,23.8,7.6,24.1
Tengah,2017,3,14,2.8,—,—,—,26.6,29.3,23.6,7.2,29.5
Tengah,2017,3,15,0,—,—,—,28.9,34.8,24.2,7.2,25.9
Tengah,2017,3,16,6.3,—,—,—,28.2,34.3,23.6,8.3,35.3
Tengah,2017,3,17,0,—,—,—,26.6,32.7,23.8,6.8,31.3
Tengah,2017,3,18,57.3,—,—,—,27,33.5,23.5,7.2,31.3
Tengah,2017,3,19,0,—,—,—,27.4,32.9,23.9,6.8,29.5
Tengah,2017,3,20,6.7,—,—,—,26.4,29.7,23.5,7.6,31.3
Tengah,2017,3,21,0,—,—,—,28.1,34.3,23.2,9,37.1
Tengah,2017,3,22,0.3,—,—,—,27.3,33.5,23.7,6.5,44.3
Tengah,2017,3,23,0,—,—,—,28.9,33.8,24.7,9,25.9
Tengah,2017,3,24,1.7,—,—,—,28.6,32.2,24.6,7.2,27.7
Tengah,2017,3,25,8.8,—,—,—,26.9,32,23.6,7.6,40.7
Tengah,2017,3,26,0,—,—,—,28.4,33.8,24.3,9.7,25.9
Tengah,2017,3,27,0,—,—,—,28.8,32.8,24.9,9.4,27.7
Tengah,2017,3,28,3.8,—,—,—,26.6,29.7,24,7.9,27.7
Tengah,2017,3,29,47,—,—,—,26.2,32.5,23.6,6.1,59.4
Tengah,2017,3,30,20.8,—,—,—,25.1,29.2,23.5,5.8,31.3
Tengah,2017,3,31,0.8,—,—,—,27.1,32.7,24.8,5,20.5
